id;company_code;company_name;company_reg_number
1;4th generation;Principal Savings Account online;Music Savings Account
2;Ethiopian Birr architectures;Networked;Handcrafted Rubber Gloves
3;South Carolina;website Curve;Circles
4;disintermediate Walks Credit Card Account;payment;XSS solid state Handmade Granite Fish
5;Concrete;Planner;Health
6;Savings Account Rupiah;back up Tactics;Borders
7;PCI;Sports;24/365
8;Frozen;magenta Turkish Lira;green Chicken Tasty
9;Metal Lead;Communications Generic Granite Gloves;Accountability Assurance Auto Loan Account
10;seamless indexing Handcrafted;Malta Auto Loan Account online;deposit Central African Republic
