id;transaction_date;transaction_description;transaction_amount_dr;transaction_amount_cr;transaction_balance
1;2019-11-09;Intelligent;15285;36535;24595
2;2019-11-09;hacking;8788;28509;80586
3;2019-11-09;Internal;8023;5163;52451
4;2019-11-09;Rand Namibia Dollar Executive;89661;39785;57599
5;2019-11-08;TCP parsing Networked;17088;72289;66864
6;2019-11-08;hard drive Mexico Gardens;83858;76949;20507
7;2019-11-09;orchestration channels Buckinghamshire;24240;52984;11483
8;2019-11-08;copy Awesome;50610;15436;93201
9;2019-11-09;Montenegro;5182;36923;33660
10;2019-11-09;Bahamas;54892;98996;20173
