id;transaction_date;transaction_description;transaction_qty;transaction_balance
1;2019-11-09;Handmade Wooden Cheese Fresh;64921;74421
2;2019-11-08;Idaho Markets grow;28571;8289
3;2019-11-08;Mandatory Assistant;1215;97790
4;2019-11-08;Incredible Fresh Car Tuvalu;99296;91911
5;2019-11-09;Paraguay;96930;7543
6;2019-11-09;Savings Account;69574;29449
7;2019-11-09;Credit Card Account Maryland Legacy;4544;91525
8;2019-11-09;Brand Regional Court;62013;33566
9;2019-11-09;olive;46369;38826
10;2019-11-09;Indiana;7773;36034
