id;job_code;job_description;job_start_date;job_end_date;job_amount
1;bypassing optical;installation;2019-11-12;2019-11-11;4077
2;Kentucky Algerian Dinar Clothing;open-source turn-key;2019-11-12;2019-11-12;94052
3;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;2019-11-11;2019-11-11;25794
4;deposit;Designer Borders content-based;2019-11-11;2019-11-12;96541
5;Virginia THX pink;cross-media;2019-11-11;2019-11-11;89711
6;AI optical invoice;Marketing;2019-11-11;2019-11-11;66898
7;Alabama transform;invoice Home Gloves;2019-11-12;2019-11-12;69189
8;invoice Devolved;Computers Bedfordshire Fish;2019-11-12;2019-11-12;74417
9;alarm local area network Benin;turn-key dedicated;2019-11-12;2019-11-12;97301
10;target Human withdrawal;dot-com payment Libyan Dinar;2019-11-11;2019-11-12;23018
