id;worker_code;worker_name;worker_limit;is_active
1;Quality-focused Quality Generic;override Salad XSS;87184;false
2;SAS;Fresh;33511;false
3;Corporate Jewelery Tennessee;Bedfordshire Electronics asymmetric;61692;false
4;New York Concrete expedite;Solomon Islands;77984;false
5;radical;Italy;96299;true
6;benchmark Sausages;Licensed Directives Baht;6783;true
7;Chicken;Handmade Rubber Shoes proactive Checking Account;4574;true
8;Strategist Yemeni Rial Shoals;Rubber navigate;2458;false
9;copying;Buckinghamshire compress;68329;false
10;Ball Wells;partnerships Terrace Hat;79480;true
